Store,Model,MAE,MSE,RMSE
41,Holt-Winters,62437.74518349002,5206061088.242567,72153.03935554321
41,ARIMA,104087.0441311033,15294107493.951578,123669.34743076628
42,SARIMA,23585.813773911806,836586145.8055296,28923.798951823905
42,Holt-Winters,23638.720312563673,883555252.2441602,29724.65731079435
42,ARIMA,14817.426963733888,442918992.36862165,21045.640697508396
43,SARIMA,15543.638669314378,356827656.6098791,18889.88238740197
43,Holt-Winters,30741.80026397169,1206900365.9965398,34740.471585695836
43,ARIMA,14938.300024871889,303898326.35565865,17432.679838615135
44,SARIMA,10069.98658158326,152285648.69876727,12340.407152876573
44,Holt-Winters,9354.27154425662,136540037.40740323,11685.03476278112
44,ARIMA,7006.742340444092,107587539.39031272,10372.441341859336
45,SARIMA,25056.643224514602,1813399069.8275707,42584.023645348156
45,Holt-Winters,21900.78816035709,663606483.4016005,25760.560618930645
45,ARIMA,57482.04137988727,3782698262.9924474,61503.64430659737
